t,0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,1
0,2.0000E-5,2.9317E-6,4.2850E-7,6.2428E-8,9.0622E-9,1.3101E-9,1.8851E-10,2.6978E-11,3.8366E-12,5.4157E-13,7.5768E-14,1.0485E-14,1.4315E-15,1.9206E-16,2.5178E-17,3.1959E-18,3.8658E-19,4.3174E-20,4.1143E-21,2.4095E-22,-2.37E-23,-1.31E-23,-3.47E-24,-7.61E-25,-1.52E-25,-2.89E-26,-5.29E-27,-9.45E-28,-1.66E-28,-2.86E-29,-4.89E-30,-8.29E-31,-1.39E-31,-2.32E-32,-3.86E-33,-6.37E-34,-1.05E-34,-1.72E-35,-2.81E-36,-4.57E-37,-7.43E-38,-1.20E-38,-1.95E-39,-3.14E-40,-5.06E-41,-8.13E-42,-1.31E-42,-2.09E-43,-3.35E-44,-5.36E-45,-8.56E-46,-1.37E-46,-2.18E-47,-3.46E-48,-5.51E-49,-8.76E-50,-1.39E-50,-2.21E-51,-3.50E-52,-5.55E-53,-8.79E-54,-1.39E-54,-2.20E-55,-3.48E-56,-5.50E-57,-8.69E-58,-1.37E-58,-2.16E-59,-3.41E-60,-5.38E-61,-8.48E-62,-1.34E-62,-2.10E-63,-3.31E-64,-5.21E-65,-8.19E-66,-1.29E-66,-2.03E-67,-3.18E-68,-5.00E-69,-7.85E-70,-1.23E-70,-1.94E-71,-3.04E-72,-4.77E-73,-7.48E-74,-1.17E-74,-1.84E-75,-2.88E-76,-4.52E-77,-7.08E-78,-1.11E-78,-1.74E-79,-2.72E-80,-4.26E-81,-6.66E-82,-1.04E-82,-1.63E-83,-2.56E-84,-4.09E-85,-1.25E-85
0.01,0.095164,0.075343,0.058755,0.045131,0.034152,0.025471,0.018733,0.013596,0.0097451,0.0069034,0.0048372,0.0033552,0.0023054,0.0015703,0.001061,7.1156E-4,4.7391E-4,3.1361E-4,2.0630E-4,1.3496E-4,8.7840E-5,5.6899E-5,3.6693E-5,2.3564E-5,1.5075E-5,9.6087E-6,6.1039E-6,3.8652E-6,2.4403E-6,1.5363E-6,9.6467E-7,6.0421E-7,3.7756E-7,2.3540E-7,1.4646E-7,9.0941E-8,5.6362E-8,3.4868E-8,2.1535E-8,1.3278E-8,8.1746E-9,5.0252E-9,3.0848E-9,1.8912E-9,1.1579E-9,7.0805E-10,4.3247E-10,2.6385E-10,1.6080E-10,9.7897E-11,5.9541E-11,3.6178E-11,2.1962E-11,1.3320E-11,8.0721E-12,4.8876E-12,2.9570E-12,1.7877E-12,1.0799E-12,6.5190E-13,3.9325E-13,2.3707E-13,1.4282E-13,8.5986E-14,5.1737E-14,3.1111E-14,1.8697E-14,1.1231E-14,6.7421E-15,4.0453E-15,2.4260E-15,1.4542E-15,8.7121E-16,5.2171E-16,3.1227E-16,1.8683E-16,1.1173E-16,6.6789E-17,3.9908E-17,2.3837E-17,1.4232E-17,8.4939E-18,5.0675E-18,3.0222E-18,1.8017E-18,1.0738E-18,6.3970E-19,3.8098E-19,2.2682E-19,1.3500E-19,8.0324E-20,4.7779E-20,2.8414E-20,1.6895E-20,1.0049E-20,5.9857E-21,3.5823E-21,2.1751E-21,1.3762E-21,9.6735E-22,8.4086E-22
0.02,0.18127,0.15562,0.13264,0.11222,0.094209,0.078466,0.064821,0.053102,0.04313,0.034728,0.02772,0.021935,0.017208,0.013386,0.010328,0.0079053,0.0060045,0.0045273,0.0033894,0.0025206,0.0018625,0.0013679,9.9884E-4,7.2541E-4,5.2413E-4,3.7686E-4,2.6973E-4,1.9222E-4,1.3643E-4,9.6458E-5,6.7952E-5,4.7707E-5,3.3387E-5,2.3295E-5,1.6208E-5,1.1247E-5,7.7847E-6,5.3757E-6,3.7040E-6,2.5468E-6,1.7478E-6,1.1972E-6,8.1872E-7,5.5897E-7,3.8106E-7,2.5941E-7,1.7636E-7,1.1975E-7,8.1219E-8,5.5026E-8,3.7243E-8,2.5183E-8,1.7014E-8,1.1485E-8,7.7469E-9,5.2218E-9,3.5174E-9,2.3679E-9,1.5932E-9,1.0713E-9,7.2007E-10,4.8376E-10,3.2486E-10,2.1807E-10,1.4633E-10,9.8162E-11,6.5828E-11,4.4132E-11,2.9579E-11,1.9820E-11,1.3278E-11,8.8936E-12,5.9557E-12,3.9877E-12,2.6695E-12,1.7868E-12,1.1959E-12,8.0025E-13,5.3545E-13,3.5824E-13,2.3965E-13,1.6031E-13,1.0722E-13,7.1714E-14,4.7961E-14,3.2073E-14,2.1447E-14,1.4341E-14,9.5894E-15,6.4119E-15,4.2873E-15,2.8670E-15,1.9178E-15,1.2837E-15,8.6078E-16,5.7949E-16,3.9377E-16,2.7327E-16,1.9847E-16,1.5752E-16,1.4437E-16
0.03,0.25918,0.23041,0.20384,0.17943,0.15715,0.13692,0.11866,0.10227,0.087656,0.074699,0.063286,0.053297,0.044614,0.037118,0.030693,0.025224,0.020603,0.016727,0.013499,0.01083,0.0086382,0.0068514,0.0054045,0.0042404,0.0033098,0.0025705,0.0019867,0.0015284,0.0011705,8.9247E-4,6.7767E-4,5.1251E-4,3.8610E-4,2.8980E-4,2.1674E-4,1.6155E-4,1.2002E-4,8.8880E-5,6.5623E-5,4.8311E-5,3.5468E-5,2.5969E-5,1.8965E-5,1.3816E-5,1.0042E-5,7.2816E-6,5.2687E-6,3.8042E-6,2.7413E-6,1.9715E-6,1.4153E-6,1.0142E-6,7.2546E-7,5.1809E-7,3.6941E-7,2.6299E-7,1.8695E-7,1.3271E-7,9.4075E-8,6.6599E-8,4.7089E-8,3.3253E-8,2.3454E-8,1.6524E-8,1.1629E-8,8.1749E-9,5.7409E-9,4.0277E-9,2.8229E-9,1.9767E-9,1.3829E-9,9.6667E-10,6.7513E-10,4.7113E-10,3.2851E-10,2.2889E-10,1.5936E-10,1.1087E-10,7.7083E-11,5.3555E-11,3.7185E-11,2.5801E-11,1.7892E-11,1.2400E-11,8.5884E-12,5.9452E-12,4.1132E-12,2.8443E-12,1.9658E-12,1.3580E-12,9.3779E-13,6.4741E-13,4.4693E-13,3.0870E-13,2.1359E-13,1.4844E-13,1.0421E-13,7.4781E-14,5.6126E-14,4.5756E-14,4.2399E-14
0.04,0.32968,0.29919,0.27052,0.24367,0.21865,0.19543,0.17398,0.15427,0.13623,0.11979,0.1049,0.09146,0.079395,0.068616,0.059033,0.050557,0.043098,0.036568,0.030882,0.025957,0.021715,0.01808,0.014982,0.012357,0.010145,0.0082909,0.0067448,0.0054626,0.0044047,0.0035365,0.0028274,0.0022513,0.0017853,0.0014102,0.0011097,8.6993E-4,6.7952E-4,5.2892E-4,4.1028E-4,3.1720E-4,2.4445E-4,1.8779E-4,1.4382E-4,1.0983E-4,8.3629E-5,6.3503E-5,4.8091E-5,3.6325E-5,2.7368E-5,2.0569E-5,1.5423E-5,1.1537E-5,8.6113E-6,6.4136E-6,4.7668E-6,3.5356E-6,2.6172E-6,1.9337E-6,1.4260E-6,1.0497E-6,7.7137E-7,5.6587E-7,4.1443E-7,3.0304E-7,2.2124E-7,1.6127E-7,1.1739E-7,8.5324E-8,6.1932E-8,4.4892E-8,3.2497E-8,2.3495E-8,1.6965E-8,1.2235E-8,8.8139E-9,6.3418E-9,4.5580E-9,3.2724E-9,2.3469E-9,1.6814E-9,1.2034E-9,8.6046E-10,6.1465E-10,4.3866E-10,3.1277E-10,2.2281E-10,1.5859E-10,1.1278E-10,8.0145E-11,5.6909E-11,4.0384E-11,2.8643E-11,2.0312E-11,1.4412E-11,1.0246E-11,7.3198E-12,5.2864E-12,3.9053E-12,3.0146E-12,2.5132E-12,2.3498E-12
0.05,0.39347,0.36218,0.33237,0.30407,0.27732,0.25213,0.22849,0.2064,0.18583,0.16677,0.14916,0.13296,0.11812,0.10458,0.092277,0.081134,0.071085,0.062056,0.053976,0.046773,0.040378,0.034723,0.029744,0.025378,0.021567,0.018255,0.015389,0.012921,0.010806,0.0090015,0.0074687,0.006173,0.0050826,0.0041692,0.0034073,0.0027747,0.0022517,0.001821,0.0014678,0.0011793,9.4448E-4,7.5415E-4,6.0041E-4,4.7664E-4,3.7734E-4,2.9794E-4,2.3464E-4,1.8433E-4,1.4446E-4,1.1295E-4,8.8123E-5,6.8603E-5,5.3297E-5,4.1324E-5,3.1979E-5,2.4702E-5,1.9048E-5,1.4662E-5,1.1268E-5,8.6465E-6,6.6247E-6,5.0683E-6,3.8722E-6,2.9544E-6,2.2513E-6,1.7134E-6,1.3025E-6,9.8903E-7,7.5019E-7,5.6844E-7,4.3030E-7,3.2542E-7,2.4588E-7,1.8562E-7,1.4001E-7,1.0552E-7,7.9472E-8,5.9808E-8,4.4979E-8,3.3804E-8,2.5389E-8,1.9058E-8,1.4297E-8,1.0720E-8,8.0331E-9,6.0170E-9,4.5049E-9,3.3714E-9,2.5222E-9,1.8865E-9,1.4109E-9,1.0554E-9,7.9016E-10,5.9263E-10,4.4614E-10,3.3829E-10,2.5998E-10,2.0467E-10,1.6783E-10,1.4661E-10,1.3961E-10
0.06,0.45119,0.41971,0.38943,0.3604,0.33267,0.30626,0.28119,0.25747,0.23511,0.21411,0.19444,0.17608,0.15901,0.14318,0.12857,0.1151,0.10275,0.09145,0.081145,0.071781,0.063299,0.055641,0.048753,0.042578,0.037062,0.032153,0.027801,0.023957,0.020575,0.017611,0.015023,0.012773,0.010824,0.009143,0.0076979,0.0064607,0.0054054,0.0045087,0.0037495,0.003109,0.0025706,0.0021194,0.0017427,0.0014292,0.001169,9.5384E-4,7.7637E-4,6.3042E-4,5.1074E-4,4.1286E-4,3.3301E-4,2.6805E-4,2.1532E-4,1.7263E-4,1.3814E-4,1.1033E-4,8.7969E-5,7.0017E-5,5.5636E-5,4.4137E-5,3.4960E-5,2.7649E-5,2.1835E-5,1.7220E-5,1.3561E-5,1.0666E-5,8.3776E-6,6.5723E-6,5.1498E-6,4.0305E-6,3.1509E-6,2.4606E-6,1.9195E-6,1.4959E-6,1.1646E-6,9.0582E-7,7.0389E-7,5.4648E-7,4.2390E-7,3.2854E-7,2.5442E-7,1.9687E-7,1.5222E-7,1.1761E-7,9.0807E-8,7.0064E-8,5.4025E-8,4.1633E-8,3.2068E-8,2.4692E-8,1.9010E-8,1.4639E-8,1.1284E-8,8.7162E-9,6.7616E-9,5.2868E-9,4.1917E-9,3.4031E-9,2.8697E-9,2.5590E-9,2.4560E-9
0.07,0.50341,0.47217,0.44188,0.41262,0.38443,0.35735,0.3314,0.30663,0.28304,0.26065,0.23945,0.21945,0.20063,0.18296,0.16644,0.15103,0.1367,0.12342,0.11113,0.099811,0.089404,0.079869,0.071157,0.063223,0.056019,0.049498,0.043614,0.038321,0.033575,0.029333,0.025554,0.022199,0.019229,0.016609,0.014305,0.012286,0.010523,0.0089877,0.0076553,0.0065027,0.0055088,0.0046544,0.0039223,0.0032969,0.0027642,0.0023118,0.0019288,0.0016054,0.0013331,0.0011044,9.1293E-4,7.5299E-4,6.1975E-4,5.0901E-4,4.1721E-4,3.4128E-4,2.7863E-4,2.2705E-4,1.8467E-4,1.4993E-4,1.2152E-4,9.8317E-5,7.9413E-5,6.4040E-5,5.1561E-5,4.1450E-5,3.3271E-5,2.6667E-5,2.1344E-5,1.7059E-5,1.3617E-5,1.0854E-5,8.6412E-6,6.8708E-6,5.4565E-6,4.3282E-6,3.4292E-6,2.7139E-6,2.1455E-6,1.6944E-6,1.3367E-6,1.0534E-6,8.2941E-7,6.5241E-7,5.1271E-7,4.0258E-7,3.1584E-7,2.4760E-7,1.9398E-7,1.5190E-7,1.1892E-7,9.3125E-8,7.2996E-8,5.7349E-8,4.5259E-8,3.6009E-8,2.9056E-8,2.3995E-8,2.0542E-8,1.8519E-8,1.7846E-8
0.08,0.55067,0.51993,0.48996,0.4608,0.43252,0.40516,0.37875,0.35335,0.32896,0.30562,0.28334,0.26212,0.24197,0.22289,0.20486,0.18787,0.17191,0.15695,0.14297,0.12994,0.11783,0.1066,0.096211,0.086633,0.077823,0.069743,0.062351,0.055608,0.049474,0.043908,0.038873,0.034329,0.030242,0.026575,0.023294,0.020368,0.017764,0.015455,0.013412,0.011611,0.010026,0.0086368,0.0074218,0.0063622,0.0054408,0.0046418,0.0039508,0.0033549,0.0028423,0.0024026,0.0020264,0.0017053,0.001432,0.0012,0.0010034,8.3736E-4,6.9736E-4,5.7962E-4,4.8082E-4,3.9811E-4,3.2901E-4,2.7141E-4,2.2349E-4,1.8371E-4,1.5075E-4,1.2350E-4,1.0101E-4,8.2480E-5,6.7245E-5,5.4740E-5,4.4494E-5,3.6112E-5,2.9268E-5,2.3687E-5,1.9145E-5,1.5452E-5,1.2456E-5,1.0028E-5,8.0629E-6,6.4752E-6,5.1939E-6,4.1613E-6,3.3303E-6,2.6623E-6,2.1260E-6,1.6961E-6,1.3518E-6,1.0764E-6,8.5653E-7,6.8117E-7,5.4159E-7,4.3071E-7,3.4291E-7,2.7369E-7,2.1947E-7,1.7748E-7,1.4556E-7,1.2210E-7,1.0598E-7,9.6480E-8,9.3314E-8
